BoroCD_code,CORRIDOR,CrossStree,ENFORCEMENT_START,FROM_STREET,FromStreet,Install_Date,MainStreet,Name,OBJECTID,OnStreet,Shape_Area,Shape_Length,Street1,Street2,TO_STREET,ToStreet,YR,Year,completion,date_insta,end_date,from_stree,geometry_x,geometry_y,humps,on_street,pjct_name,sip_year,source_layer_id,sq_mi,to_street,treatment_
,,40 Street,,,,1553299200000,3 Avenue,,1283,,,,,,,,,,,,,,981819.9999268055,177285.0001386404,,,,,10,,,
,,41 Street,,,,1553299200000,3 Avenue,,1284,,,,,,,,,,,,,,981656.9999247193,177081.9998884797,,,,,10,,,
,,42 Street,,,,1553299200000,3 Avenue,,1285,,,,,,,,,,,,,,981494.9999206364,176877.99996839464,,,,,10,,,
,,43 Street,,,,1553299200000,3 Avenue,,1286,,,,,,,,,,,,,,981333.9999145567,176674.00004830956,,,,,10,,,
,,44 Street,,,,1553299200000,3 Avenue,,1287,,,,,,,,,,,,,,981170.9999124706,176468.0001322329,,,,,10,,,
,,45 Street,,,,1553299200000,3 Avenue,,1288,,,,,,,,,,,,,,981009.9999063909,176264.9998820573,,,,,10,,,
,,46 Street,,,,1553299200000,3 Avenue,,1289,,,,,,,,,,,,,,980848.9999003112,176059.9999639839,,,,,10,,,
,,47 Street,,,,1553299200000,3 Avenue,,1290,,,,,,,,,,,,,,980688.9998922199,175856.00004389882,,,,,10,,,
,,48 Street,,,,1553299200000,3 Avenue,,1291,,,,,,,,,,,,,,980524.9998921305,175652.00012381375,,,,,10,,,
,,49 Street,,,,1553299200000,3 Avenue,,1292,,,,,,,,,,,,,,980364.9998840541,175447.9998756498,,,,,10,,,
,,50 Street,,,,1553299200000,3 Avenue,,1293,,,,,,,,,,,,,,980201.9998819679,175242.9999575615,,,,,10,,,
,,51 Street,,,,1553299200000,3 Avenue,,1294,,,,,,,,,,,,,,980042.9998718947,175041.0000334829,,,,,10,,,
,,52 Street,,,,1553299200000,3 Avenue,,1295,,,,,,,,,,,,,,979879.9998698086,174836.0001153946,,,,,10,,,
,,53 Street,,,,1553299200000,3 Avenue,,1296,,,,,,,,,,,,,,979715.9998697191,174630.9998692274,,,,,10,,,
,,55 Street,,,,1553299200000,3 Avenue,,1297,,,,,,,,,,,,,,979395.9998535514,174224.0000270605,,,,,10,,,
,,56 Street,,,,1553299200000,3 Avenue,,1298,,,,,,,,,,,,,,979237.9998414665,174022.00010298193,,,,,10,,,
,,57 Street,,,,1553299200000,3 Avenue,,1299,,,,,,,,,,,,,,979073.999841392,173814.99986080825,,,,,10,,,
,,58 Street,,,,1553299200000,3 Avenue,,1300,,,,,,,,,,,,,,978908.9998432994,173606.9999487251,,,,,10,,,
,,67 Street,,,,1553299200000,3 Avenue,,1301,,,,,,,,,,,,,,977286.0001365542,171642.9999397248,,,,,10,,,
,,68 Street,,,,1553299200000,3 Avenue,,1302,,,,,,,,,,,,,,977103.9998443872,171158.99992348254,,,,,10,,,
,,72 Street,,,,1553299200000,3 Avenue,,1303,,,,,,,,,,,,,,976769.9998562187,170084.00010497868,,,,,10,,,
,,Bay Ridge Avenue,,,,1553299200000,3 Avenue,,1304,,,,,,,,,,,,,,977023.0000063926,170895.00012339652,,,,,10,,,
,,Dean Street,,,,1553299200000,3 Avenue,,1305,,,,,,,,,,,,,,989363.9999306351,188496.00002631545,,,,,10,,,
,,Marine Ave & 99 Street,,,,1553299200000,3 Avenue,,1306,,,,,,,,,,,,,,974650.0001592189,163287.99991747737,,,,,10,,,
,,Pacific Street,,,,1553299200000,3 Avenue,,1307,,,,,,,,,,,,,,989483.0000207275,188726.99989239872,,,,,10,,,
,,Senator Street,,,,1553299200000,3 Avenue,,1308,,,,,,,,,,,,,,977180.0000204742,171405.00008764863,,,,,10,,,
,,West 62 Street,,,,1553299200000,Columbus Avenue,,1309,,,,,,,,,,,,,,988841.9999903888,220204.99992839992,,,,,10,,,
,,West 63 Street,,,,1553299200000,Columbus Avenue,,1310,,,,,,,,,,,,,,988970.0000624657,220440.00011456013,,,,,10,,,
,,West 67 Street,,,,1553299200000,Columbus Avenue,,1311,,,,,,,,,,,,,,989481.000024721,221348.999936983,,,,,10,,,
,,West 68 Street,,,,1553299200000,Columbus Avenue,,1312,,,,,,,,,,,,,,989607.0001008064,221577.0001371503,,,,,10,,,
,,West 69 Street,,,,1553299200000,Columbus Avenue,,1313,,,,,,,,,,,,,,989730.9998528063,221806.00000722706,,,,,10,,,
,,West 70 Street,,,,1553299200000,Columbus Avenue,,1314,,,,,,,,,,,,,,989859.9999228865,222035.99987530708,,,,,10,,,
,,West 71 Street,,,,1553299200000,Columbus Avenue,,1315,,,,,,,,,,,,,,989986.9999969751,222259.00008547306,,,,,10,,,
,,West 73 Street,,,,1553299200000,Columbus Avenue,,1316,,,,,,,,,,,,,,990262.0001031309,222759.00006972253,,,,,10,,,
,,West 74 Street,,,,1553299200000,Columbus Avenue,,1317,,,,,,,,,,,,,,990388.9998491406,222989.9999358058,,,,,10,,,
,,West 75 Street,,,,1553299200000,Columbus Avenue,,1318,,,,,,,,,,,,,,990517.9999192208,223221.00012998283,,,,,10,,,
,,West 76 Street,,,,1553299200000,Columbus Avenue,,1319,,,,,,,,,,,,,,990646.999989301,223451.9999960661,,,,,10,,,
,,West 78 Street,,,,1553299200000,Columbus Avenue,,1320,,,,,,,,,,,,,,990898.0001434684,223917.00005030632,,,,,10,,,
,,West 80 Street,,,,1553299200000,Columbus Avenue,,1321,,,,,,,,,,,,,,991177.9999115616,224411.00004656613,,,,,10,,,
,,West 82 Street,,,,1553299200000,Columbus Avenue,,1322,,,,,,,,,,,,,,991434.0000557154,224874.00010481477,,,,,10,,,
,,West 83 Street,,,,1553299200000,Columbus Avenue,,1323,,,,,,,,,,,,,,991562.0001278073,225105.99996888638,,,,,10,,,
,,West 84 Street,,,,1553299200000,Columbus Avenue,,1324,,,,,,,,,,,,,,991689.9998718053,225337.0001630634,,,,,10,,,
,,West 85 Street,,,,1553299200000,Columbus Avenue,,1325,,,,,,,,,,,,,,991817.9999438822,225568.00002914667,,,,,10,,,
,,West 87 Street,,,,1553299200000,Columbus Avenue,,1326,,,,,,,,,,,,,,992092.0000520498,226063.00002339482,,,,,10,,,
,,West 88 Street,,,,1553299200000,Columbus Avenue,,1327,,,,,,,,,,,,,,992219.0001261383,226291.9998934716,,,,,10,,,
,,West 89 Street,,,,1553299200000,Columbus Avenue,,1328,,,,,,,,,,,,,,992345.9998721331,226521.00009164214,,,,,10,,,
,,West 90 Street,,,,1553299200000,Columbus Avenue,,1329,,,,,,,,,,,,,,992473.999944225,226750.99995972216,,,,,10,,,
,,West 91 Street,,,,1553299200000,Columbus Avenue,,1330,,,,,,,,,,,,,,992599.000022307,226978.00016188622,,,,,10,,,
,,West 92 Street,,,,1553299200000,Columbus Avenue,,1331,,,,,,,,,,,,,,992726.0000963807,227204.00003798306,,,,,10,,,
,,West 93 Street,,,,1553299200000,Columbus Avenue,,1332,,,,,,,,,,,,,,992857.0001624674,227437.99989806116,,,,,10,,,
,,West 94 Street,,,,1553299200000,Columbus Avenue,,1333,,,,,,,,,,,,,,992978.9999184757,227665.0001002252,,,,,10,,,
,,West 95 Street,,,,1553299200000,Columbus Avenue,,1334,,,,,,,,,,,,,,993105.9999925494,227892.99997231364,,,,,10,,,
,,West 100 Street,,,,1553299200000,Columbus Avenue,,1335,,,,,,,,,,,,,,993766.9999828935,229084.99988488853,,,,,10,,,
,,West 104 Street,,,,1553299200000,Columbus Avenue,,1336,,,,,,,,,,,,,,994259.9999811351,229982.00005939603,,,,,10,,,
,,West 105 Street,,,,1553299200000,Columbus Avenue,,1337,,,,,,,,,,,,,,994396.0000372231,230216.99991747737,,,,,10,,,
,,West 106 Street,,,,1553299200000,Columbus Avenue,,1338,,,,,,,,,,,,,,994531.0000953078,230462.00008364022,,,,,10,,,
,,West 107 Street,,,,1553299200000,Columbus Avenue,,1339,,,,,,,,,,,,,,994667.0001513809,230709.99991573393,,,,,10,,,
,,West 108 Street,,,,1553299200000,Columbus Avenue,,1340,,,,,,,,,,,,,,994793.9998973906,230939.00011388958,,,,,10,,,
,,West 109 Street,,,,1553299200000,Columbus Avenue,,1341,,,,,,,,,,,,,,994920.9999714643,231167.99998398125,,,,,10,,,
,,West 15 Street,,,,1553299200000,11 Avenue,,1342,,,,,,,,,,,,,,981862.9998408109,210048.99989922345,,,,,10,,,
,,West 20 Street,,,,1553299200000,11 Avenue,,1343,,,,,,,,,,,,,,982045.000132978,211360.999899894,,,,,10,,,
,,West 22 Street,,,,1553299200000,11 Avenue,,1344,,,,,,,,,,,,,,982175.9998709708,211869.99986614287,,,,,10,,,
,,West 29 Street,,,,1553299200000,12 Avenue,,1345,,,,,,,,,,,,,,982272.0000070482,213918.00003522635,,,,,10,,,
,,West 55 Street,,,,1553299200000,12 Avenue,,1346,,,,,,,,,,,,,,985732.9999748021,219802.0000782311,,,,,10,,,
,,Charles Street,,,,1553299200000,West Street,,1347,,,,,,,,,,,,,,981419.0000726432,206636.00016355515,,,,,10,,,
,,Christopher Street,,,,1553299200000,West Street,,1348,,,,,,,,,,,,,,981381.0001486391,206103.9999152273,,,,,10,,,
,,West 11 Street,,,,1553299200000,West Street,,1349,,,,,,,,,,,,,,981450.0000106394,207169.00008180737,,,,,10,,,
,,Thieriot Avenue,,,,1553040000000,Westchester Avenue,,1350,,,,,,,,,,,,,,1021729.0001611412,242568.00014981627,,,,,10,,,
,,Buffalo Avenue,,,,1553644800000,Atlantic Avenue,,1351,,,,,,,,,,,,,,1005112.9999286383,185972.00015306473,,,,,10,,,
,,Clinton Avenue,,,,1553644800000,Atlantic Avenue,,1352,,,,,,,,,,,,,,993521.0001468062,187590.9998678118,,,,,10,,,
,,Cumberland Street,,,,1553644800000,Atlantic Avenue,,1353,,,,,,,,,,,,,,992054.0001280606,187993.00004805624,,,,,10,,,
,,Franklin Avenue,,,,1553644800000,Atlantic Avenue,,1354,,,,,,,,,,,,,,996650.0001223832,186731.99994538724,,,,,10,,,
,,Grand Avenue,,,,1553644800000,Atlantic Avenue,,1355,,,,,,,,,,,,,,994970.9998714775,187190.00001364946,,,,,10,,,
,,Henry Street,,,,1553644800000,Atlantic Avenue,,1356,,,,,,,,,,,,,,985294.9998665601,190938.00006355345,,,,,10,,,
,,Troy Avenue,,,,1553644800000,Atlantic Avenue,,1357,,,,,,,,,,,,,,1002040.9998390526,186193.00003914535,,,,,10,,,
,,East 12 Street,,,,1553644800000,Avenue A,,1358,,,,,,,,,,,,,,989426.0001347214,204903.0000206381,,,,,10,,,
,,West 61 Street,,,,1553644800000,West End Avenue,,1359,,,,,,,,,,,,,,987148.0000975579,220851.99994672835,,,,,10,,,
,,72 Street,,,,1553904000000,Fort Hamilton Parkway,,1360,,,,,,,,,,,,,,980285.0000440478,167800.00007981062,,,,,10,,,
,,73 Street,,,,1553904000000,Fort Hamilton Parkway,,1361,,,,,,,,,,,,,,980086.0001139641,167626.00009973347,,,,,10,,,
,,74 Street,,,,1553904000000,Fort Hamilton Parkway,,1362,,,,,,,,,,,,,,979889.9998498112,167453.00011764467,,,,,10,,,
,,62 Drive,,,,1549843200000,Yellowstone Blvd,,1363,,,,,,,,,,,,,,1024920.0000127256,207082.9999257326,,,,,10,,,
,,63 Drive,,,,1549843200000,Yellowstone Blvd,,1364,,,,,,,,,,,,,,1025222.0000648946,206344.00009138882,,,,,10,,,
,,63 Road,,,,1549843200000,Yellowstone Blvd,,1365,,,,,,,,,,,,,,1025121.9999368042,206587.99993146956,,,,,10,,,
,,64 Avenue,,,,1549843200000,Yellowstone Blvd,,1366,,,,,,,,,,,,,,1025316.9998748899,206100.99992123246,,,,,10,,,
,,64 Road,,,,1549843200000,Yellowstone Blvd,,1367,,,,,,,,,,,,,,1025412.000012964,205859.0000771433,,,,,10,,,
,,65 Avenue,,,,1549843200000,Yellowstone Blvd,,1368,,,,,,,,,,,,,,1025508.0001490563,205616.9999049753,,,,,10,,,
,,65 Road,,,,1549843200000,Yellowstone Blvd,,1369,,,,,,,,,,,,,,1025602.9999590516,205375.00006088614,,,,,10,,,
,,66 Avenue,,,,1549843200000,Yellowstone Blvd,,1370,,,,,,,,,,,,,,1025746.9999991357,205147.9998587221,,,,,10,,,
,,66 Road,,,,1549843200000,Yellowstone Blvd,,1371,,,,,,,,,,,,,,1025976.9998672158,204962.99990063906,,,,,10,,,
,,67 Avenue,,,,1549843200000,Yellowstone Blvd,,1372,,,,,,,,,,,,,,1026033.0000832975,204707.0000845641,,,,,10,,,
,,67 Drive,,,,1549843200000,Yellowstone Blvd,,1373,,,,,,,,,,,,,,1026134.9998793006,204188.00013831258,,,,,10,,,
,,67 Road,,,,1549843200000,Yellowstone Blvd,,1374,,,,,,,,,,,,,,1026067.0000153035,204439.99996238947,,,,,10,,,
,,68 Avenue,,,,1549843200000,Yellowstone Blvd,,1375,,,,,,,,,,,,,,1026232.0000133812,203945.99996614456,,,,,10,,,
,,68 Drive,,,,1549843200000,Yellowstone Blvd,,1376,,,,,,,,,,,,,,1026517.0000995547,203498.99987588823,,,,,10,,,
,,68 Road,,,,1549843200000,Yellowstone Blvd,,1377,,,,,,,,,,,,,,1023459.9999799728,199900.99985405803,,,,,10,,,
,,69 Avenue,,,,1549843200000,Yellowstone Blvd,,1378,,,,,,,,,,,,,,1026694.0000736415,203289.99996581674,,,,,10,,,
,,69 Road,,,,1549843200000,Yellowstone Blvd,,1379,,,,,,,,,,,,,,1026784.9998916388,203046.0001257211,,,,,10,,,
,,143 Street,,,,1549497600000,84 Drive,,1380,,,,,,,,,,,,,,1035934.9999642968,198343.00001731515,,,,,10,,,
,,Thomson Ave,,,,1550016000000,Jackson Avenue,,1381,,,,,,,,,,,,,,999981.0000220537,211358.9999038875,,,,,10,,,
,,37 Avenue,,,,1550102400000,Junction Blvd,,1382,,,,,,,,,,,,,,1020034.9999402165,213111.0000088066,,,,,10,,,
,,40 Road,,,,1550102400000,Junction Blvd,,1383,,,,,,,,,,,,,,1020570.9998524636,211955.0000242293,,,,,10,,,
,,41 Avene North Leg,,,,1550102400000,Junction Blvd,,1384,,,,,,,,,,,,,,1020677.9999665469,211670.99993605912,,,,,10,,,
,,42 Avenue,,,,1550102400000,Junction Blvd,,1385,,,,,,,,,,,,,,1020752.0001466423,211205.999881804,,,,,10,,,
,,43 Avenue,,,,1550102400000,Junction Blvd,,1386,,,,,,,,,,,,,,1020802.0000466406,210947.0000717342,,,,,10,,,
,,44 Avenue,,,,1550102400000,Junction Blvd,,1387,,,,,,,,,,,,,,1020850.9999486357,210703.99990156293,,,,,10,,,
,,46 Avenue,,,,1550102400000,Junction Blvd,,1388,,,,,,,,,,,,,,1020914.0001507252,210389.99987339973,,,,,10,,,
,,50 Avenue,,,,1550102400000,Junction Blvd,,1389,,,,,,,,,,,,,,1020951.0000767261,209517.9999769777,,,,,10,,,
,,51 Avenue,,,,1550102400000,Junction Blvd,,1390,,,,,,,,,,,,,,1020950.0000787228,209248.9998588115,,,,,10,,,
,,54 Avenue,,,,1550102400000,Junction Blvd,,1391,,,,,,,,,,,,,,1021172.99996081,208502.00004047155,,,,,10,,,
,,Alstyne Avenue,,,,1550102400000,Junction Blvd,,1392,,,,,,,,,,,,,,1020968.0000427216,210109.00010730326,,,,,10,,,
,,Tiemann Place,,,,1550188800000,Broadway,,1393,,,,,,,,,,,,,,995681.0000918806,236249.99999055266,,,,,10,,,
,,East 92 Street,,,,1550275200000,Avenue B,,1394,,,,,,,,,,,,,,1007881.9999680519,176276.99985806644,,,,,10,,,
,,Elder Avenue,,,,1550102400000,Bronx River Avenue,,1395,,,,,,,,,,,,,,1017388.9999828935,242851.99990989268,,,,,10,,,
,,East 93 Street,,,,1550275200000,Rutland Road,,1396,,,,,,,,,,,,,,1004543.0000843853,180604.00006231666,,,,,10,,,
,,40 Street,,,,1550880000000,12 Avenue,,1397,,,,,,,,,,,,,,987284.000153631,172951.99994640052,,,,,10,,,
,,41 Street,,,,1550880000000,12 Avenue,,1398,,,,,,,,,,,,,,987119.0001555532,172750.00002230704,,,,,10,,,
,,42 Street,,,,1550880000000,12 Avenue,,1399,,,,,,,,,,,,,,986958.0001494735,172546.00010222197,,,,,10,,,
,,43 Street,,,,1550880000000,12 Avenue,,1400,,,,,,,,,,,,,,986797.0001433939,172342.99985206127,,,,,10,,,
,,44 Street,,,,1550880000000,12 Avenue,,1401,,,,,,,,,,,,,,986635.000139311,172137.99993397295,,,,,10,,,
,,45 Street,,,,1550880000000,12 Avenue,,1402,,,,,,,,,,,,,,986473.000135228,171935.00001189113,,,,,10,,,
,,46 Street,,,,1550880000000,12 Avenue,,1403,,,,,,,,,,,,,,986312.0001291335,171729.00009581447,,,,,10,,,
,,47 Street,,,,1550880000000,12 Avenue,,1404,,,,,,,,,,,,,,986150.0001250505,171525.99984563887,,,,,10,,,
,,48 Street,,,,1550880000000,12 Avenue,,1405,,,,,,,,,,,,,,985988.0001209676,171320.99992756546,,,,,10,,,
,,49 Street,,,,1550880000000,12 Avenue,,1406,,,,,,,,,,,,,,985827.000114888,171117.00000748038,,,,,10,,,
,,51 Street,,,,1550880000000,12 Avenue,,1407,,,,,,,,,,,,,,985503.0001067221,170708.99983923137,,,,,10,,,
,,52 Street,,,,1550880000000,12 Avenue,,1408,,,,,,,,,,,,,,985342.0001006424,170504.9999191463,,,,,10,,,
,,53 Street,,,,1550880000000,12 Avenue,,1409,,,,,,,,,,,,,,985180.0000965595,170300.99999906123,,,,,10,,,
,,54 Street,,,,1550880000000,12 Avenue,,1410,,,,,,,,,,,,,,985019.000090465,170098.0000769794,,,,,10,,,
,,55 Street,,,,1550880000000,12 Avenue,,1411,,,,,,,,,,,,,,984857.000086382,169894.00015689433,,,,,10,,,
,,56 Street,,,,1550880000000,12 Avenue,,1412,,,,,,,,,,,,,,984695.0000822991,169689.9999087304,,,,,10,,,
,,57 Street,,,,1550880000000,12 Avenue,,1413,,,,,,,,,,,,,,984533.0000782162,169484.99999064207,,,,,10,,,
,,58 Street,,,,1550880000000,12 Avenue,,1414,,,,,,,,,,,,,,984372.0000721365,169281.000070557,,,,,10,,,
,,59 Street,,,,1550880000000,12 Avenue,,1415,,,,,,,,,,,,,,984210.0000680536,169078.00014847517,,,,,10,,,
,,66 Street,,,,1550880000000,12 Avenue,,1416,,,,,,,,,,,,,,983042.0001074672,167604.0001437217,,,,,10,,,
,,67 Street,,,,1550880000000,12 Avenue,,1417,,,,,,,,,,,,,,982881.0001013875,167399.99989555776,,,,,10,,,
,,70 Street,,,,1550880000000,12 Avenue,,1418,,,,,,,,,,,,,,982396.000087142,166789.0001333058,,,,,10,,,
,,80 Street,,,,1550880000000,12 Avenue,,1419,,,,,,,,,,,,,,980756.0000863075,164720.00000622869,,,,,10,,,
,,81 Street,,,,1550880000000,12 Avenue,,1420,,,,,,,,,,,,,,980595.0000802279,164517.00008414686,,,,,10,,,
,,82 Street,,,,1550880000000,12 Avenue,,1421,,,,,,,,,,,,,,980433.0000761449,164312.99983598292,,,,,10,,,
,,Ovington Avenue,,,,1550880000000,12 Avenue,,1422,,,,,,,,,,,,,,982679.9998472184,167147.00007347763,,,,,10,,,
,,12 Avenue,,,,1550880000000,Bay Ridge Avenue,,1423,,,,,,,,,,,,,,982558.0000912249,166993.00005339086,,,,,10,,,
,,Marathon Pkwy,,,,1551225600000,L.I.E North  S/R,,1424,,,,,,,,,,,,,,1058581.9999458045,216399.9999924749,,,,,10,,,
,,Pacific Street,,,,1551225600000,Flatbush Avenue,,1425,,,,,,,,,,,,,,990721.9998393059,188102.00015814602,,,,,10,,,
,,45 Road,,,,1546560000000,21 Street,,1426,,,,,,,,,,,,,,998703.9999513924,211312.99999588728,,,,,10,,,
,,58 Street,,,,1547164800000,16 AVENUE,,1427,,,,,,,,,,,,,,986816.000105381,167344.0000075549,,,,,10,,,
,,WEST 15 STREET,,,,1547251200000,10 AVENUE,,1428,,,,,,,,,,,,,,982116.9999889731,209909.99984914064,,,,,10,,,
,,WEST 16 STREET,,,,1547251200000,10 AVENUE,,1429,,,,,,,,,,,,,,982246.0000590533,210143.00003930926,,,,,10,,,
,,WEST 17 STREET,,,,1547251200000,10 AVENUE,,1430,,,,,,,,,,,,,,982363.0001531392,210357.99993740022,,,,,10,,,
,,WEST 18 STREET,,,,1547251200000,10 AVENUE,,1431,,,,,,,,,,,,,,982480.9999171346,210570.9998394698,,,,,10,,,
,,WEST 20 STREET,,,,1547251200000,10 AVENUE,,1432,,,,,,,,,,,,,,982717.0001012981,210996.9999717325,,,,,10,,,
,,WEST 21 STREET,,,,1547251200000,10 AVENUE,,1433,,,,,,,,,,,,,,982834.9998653084,211210.9998718053,,,,,10,,,
,,WEST 24 STREET,,,,1547251200000,10 AVENUE,,1434,,,,,,,,,,,,,,983228.0000635535,211923.00008822978,,,,,10,,,
,,WEST 25 STREET,,,,1547251200000,10 AVENUE,,1435,,,,,,,,,,,,,,983353.0001416355,212147.99996630847,,,,,10,,,
,,WEST 26 STREET,,,,1547251200000,10 AVENUE,,1436,,,,,,,,,,,,,,983477.9998916388,212372.99984438717,,,,,10,,,
,,WEST 27 STREET,,,,1547251200000,10 AVENUE,,1437,,,,,,,,,,,,,,983603.9999677241,212598.00005055964,,,,,10,,,
,,WEST 28 STREET,,,,1547251200000,10 AVENUE,,1438,,,,,,,,,,,,,,983728.0000478029,212823.99992664158,,,,,10,,,
,,WEST 29 STREET,,,,1547251200000,10 AVENUE,,1439,,,,,,,,,,,,,,983854.0001238883,213049.00013281405,,,,,10,,,
,,WEST 30 STREET,,,,1547251200000,10 AVENUE,,1440,,,,,,,,,,,,,,983977.9998758882,213272.00001488626,,,,,10,,,
,,WEST 31 STREET,,,,1547251200000,10 AVENUE,,1441,,,,,,,,,,,,,,984103.9999519736,213500.99988497794,,,,,10,,,
,,WEST 34 STREET,,,,1547251200000,10 AVENUE,,1442,,,,,,,,,,,,,,984486.9998421371,214192.00014339387,,,,,10,,,
,,WEST 35 STREET,,,,1547251200000,10 AVENUE,,1443,,,,,,,,,,,,,,984620.9999022186,214434.99998547137,,,,,10,,,
,,WEST 36 STREET,,,,1547251200000,10 AVENUE,,1444,,,,,,,,,,,,,,984744.9999822974,214660.9998615533,,,,,10,,,
,,WEST 37 STREET,,,,1547251200000,10 AVENUE,,1445,,,,,,,,,,,,,,984871.0000583827,214886.00006772578,,,,,10,,,
,,WEST 38 STREET,,,,1547251200000,10 AVENUE,,1446,,,,,,,,,,,,,,984998.0001324713,215110.99994580448,,,,,10,,,
,,WEST 39 STREET,,,,1547251200000,10 AVENUE,,1447,,,,,,,,,,,,,,985121.9998844713,215339.00014597178,,,,,10,,,
,,WEST 40 STREET,,,,1547251200000,10 AVENUE,,1448,,,,,,,,,,,,,,985244.9999665469,215560.0000320673,,,,,10,,,
,,WEST 43 STREET,,,,1547251200000,10 AVENUE,,1449,,,,,,,,,,,,,,985640.0001607984,216274.99991439283,,,,,10,,,
,,WEST 44 STREET,,,,1547251200000,10 AVENUE,,1450,,,,,,,,,,,,,,985765.9999088049,216503.00011456013,,,,,10,,,
,,WEST 45 STREET,,,,1547251200000,10 AVENUE,,1451,,,,,,,,,,,,,,985892.9999828935,216731.9999846369,,,,,10,,,
,,WEST 46 STREET,,,,1547251200000,10 AVENUE,,1452,,,,,,,,,,,,,,986020.0000569671,216960.99985472858,,,,,10,,,
,,WEST 48 STREET,,,,1547251200000,10 AVENUE,,1453,,,,,,,,,,,,,,986271.9998810589,217414.99993097782,,,,,10,,,
,,WEST 49 STREET,,,,1547251200000,10 AVENUE,,1454,,,,,,,,,,,,,,986398.9999551326,217643.00013114512,,,,,10,,,
,,WEST 50 STREET,,,,1547251200000,10 AVENUE,,1455,,,,,,,,,,,,,,986525.0000312179,217872.0000012219,,,,,10,,,
,,WEST 51 STREET,,,,1547251200000,10 AVENUE,,1456,,,,,,,,,,,,,,986651.0001073033,218099.99987331033,,,,,10,,,
,,WEST 52 STREET,,,,1547251200000,10 AVENUE,,1457,,,,,,,,,,,,,,986776.9998553097,218327.00007547438,,,,,10,,,
,,WEST 53 STREET,,,,1547251200000,10 AVENUE,,1458,,,,,,,,,,,,,,986902.9999313802,218555.99994556606,,,,,10,,,
,,WEST 54 STREET,,,,1547251200000,10 AVENUE,,1459,,,,,,,,,,,,,,987030.0000054687,218784.00014573336,,,,,10,,,
,,WEST 55 STREET,,,,1547251200000,10 AVENUE,,1460,,,,,,,,,,,,,,987157.0000795573,219013.00001581013,,,,,10,,,
,,WEST 56 STREET,,,,1547251200000,10 AVENUE,,1461,,,,,,,,,,,,,,987283.0001556426,219239.99988989532,,,,,10,,,
,,WEST 57 STREET,,,,1547251200000,10 AVENUE,,1462,,,,,,,,,,,,,,987418.9998836368,219487.00005206466,,,,,10,,,
,,WEST 58 STREET,,,,1547251200000,10 AVENUE,,1463,,,,,,,,,,,,,,987555.999937728,219732.99988813698,,,,,10,,,
,,WEST 59 STREET,,,,1547251200000,10 AVENUE,,1464,,,,,,,,,,,,,,987680.0000178069,219960.00009031594,,,,,10,,,
,,76 STREET,,,,1547251200000,JAMAICA AVENUE,,1465,,,,,,,,,,,,,,1021514.9999329746,191261.00007373095,,,,,10,,,
,,77 STREET,,,,1547251200000,JAMAICA AVENUE,,1466,,,,,,,,,,,,,,1021760.0000991374,191314.99996572733,,,,,10,,,
,,78 STREET,,,,1547251200000,JAMAICA AVENUE,,1467,,,,,,,,,,,,,,1021933.0000812262,191355.99988372624,,,,,10,,,
,,80 STREET,,,,1547251200000,JAMAICA AVENUE,,1468,,,,,,,,,,,,,,1022396.0001394749,191458.0000078082,,,,,10,,,
,,85 ST,,,,1547251200000,JAMAICA AVENUE,,1469,,,,,,,,,,,,,,1023323.9999238849,191611.00002989173,,,,,10,,,
,,86 ST,,,,1547251200000,JAMAICA AVENUE,,1470,,,,,,,,,,,,,,1023580.0000680536,191631.99998790026,,,,,10,,,
,,87 ST,,,,1547251200000,JAMAICA AVENUE,,1471,,,,,,,,,,,,,,1023840.9998741448,191651.99994789064,,,,,10,,,
,,88 ST,,,,1547251200000,JAMAICA AVENUE,,1472,,,,,,,,,,,,,,1024096.0000203103,191670.99990989268,,,,,10,,,
,,89 ST,,,,1547251200000,JAMAICA AVENUE,,1473,,,,,,,,,,,,,,1024299.9999403805,191687.99987588823,,,,,10,,,
,,90 ST,,,,1547251200000,JAMAICA AVENUE,,1474,,,,,,,,,,,,,,1024549.0000985563,191727.00012597442,,,,,10,,,
,,92 ST,,,,1547251200000,JAMAICA AVENUE,,1475,,,,,,,,,,,,,,1024948.9999547154,191885.00013805926,,,,,10,,,
,,95 ST,,,,1547251200000,JAMAICA AVENUE,,1476,,,,,,,,,,,,,,1025712.0000691414,192238.00008822978,,,,,10,,,
,,96 ST E LEG,,,,1547251200000,JAMAICA AVENUE,,1477,,,,,,,,,,,,,,1026085.9999773055,192339.99988423288,,,,,10,,,
,,96 ST W LEG,,,,1547251200000,JAMAICA AVENUE,,1478,,,,,,,,,,,,,,1025966.999887228,192308.9999462217,,,,,10,,,
,,98 ST,,,,1547251200000,JAMAICA AVENUE,,1479,,,,,,,,,,,,,,1026473.9998574704,192439.00001430511,,,,,10,,,
,,101 ST,,,,1547251200000,JAMAICA AVENUE,,1480,,,,,,,,,,,,,,1026832.0001257211,192530.0001603961,,,,,10,,,
,,102 ST,,,,1547251200000,JAMAICA AVENUE,,1481,,,,,,,,,,,,,,1027121.9998738021,192579.00006239116,,,,,10,,,
,,105 ST,,,,1547251200000,JAMAICA AVENUE,,1482,,,,,,,,,,,,,,1028066.9999523014,192603.00001439452,,,,,10,,,
